sample,subject,condition,mmse
10,7,no_back,1.809288543073061
0,8,two_back,1.5489134130401656
1,8,two_back,1.5867054029024483
2,8,two_back,1.6611015644850278
3,8,two_back,1.699058927551538
4,8,two_back,1.6741685641835895
5,8,two_back,1.484152773627802
6,8,two_back,1.4268933201258847
7,8,two_back,1.551191610437583
8,8,two_back,1.7128717612306594
9,8,two_back,1.6596932582674297
10,8,two_back,1.5721416045213579
0,8,no_back,1.5063886580752255
1,8,no_back,1.2739593387372006
2,8,no_back,1.2368810401417032
3,8,no_back,1.2449755582249251
4,8,no_back,1.2871312710086884
5,8,no_back,1.4881199192063763
6,8,no_back,1.5925400344481548
7,8,no_back,1.533778437722233
8,8,no_back,1.3191833000886097
9,8,no_back,1.3237979740851367
10,8,no_back,1.447176517352318
0,9,two_back,1.4424627779590458
1,9,two_back,1.4230611311131767
2,9,two_back,1.317239973332325
3,9,two_back,1.1753126022723084
4,9,two_back,1.2158347559422342
5,9,two_back,1.4546865667443034
6,9,two_back,1.6809934929012333
7,9,two_back,1.7379509527048485
8,9,two_back,1.6892334755091363
9,9,two_back,1.6457996655714229
10,9,two_back,1.410548934796104
0,9,no_back,1.6618894304675542
1,9,no_back,1.7133292078041629
2,9,no_back,1.810469872634209
3,9,no_back,1.6248549249567692
4,9,no_back,1.484220119932187
5,9,no_back,1.2632978271507282
6,9,no_back,1.2268308344146428
7,9,no_back,1.6338960607082496
8,9,no_back,1.5737735289235095
9,9,no_back,1.4686503637078137
10,9,no_back,1.5642062568817678
0,10,two_back,1.4209134408222506
1,10,two_back,1.655669876180494
2,10,two_back,1.7665445059457412
3,10,two_back,1.7362139810101311
4,10,two_back,1.7073140860575828
5,10,two_back,1.6067182663015485
6,10,two_back,1.4499959542384337
7,10,two_back,1.53082656637517
8,10,two_back,1.701738308175521
9,10,two_back,1.681083584861921
10,10,two_back,1.500618500821546
0,10,no_back,1.6600802264121404
1,10,no_back,1.5756893668107272
2,10,no_back,1.5116488172456655
3,10,no_back,1.3867960417605236
4,10,no_back,1.3188263420927397
5,10,no_back,1.4030712086364463
6,10,no_back,1.6638596310843958
7,10,no_back,1.507396735104249
8,10,no_back,1.2844117933827885
9,10,no_back,1.2561192019279808
10,10,no_back,1.5353443033197163
0,11,two_back,1.7393924495495048
1,11,two_back,1.7337902502996265
2,11,two_back,1.7694681807716768
3,11,two_back,1.8029527486087138
4,11,two_back,1.8873719415409234
5,11,two_back,1.8321948566278892
6,11,two_back,1.7788028956220523
7,11,two_back,1.7579655888027856
8,11,two_back,1.8058791335166466
9,11,two_back,1.8616945518399877
10,11,two_back,1.8094419210022588
0,11,no_back,1.7751152278328028
1,11,no_back,1.8281968654304859
2,11,no_back,1.8193034471321439
3,11,no_back,1.8582927221347039
4,11,no_back,1.8586320876184732
5,11,no_back,1.7698786550331909
6,11,no_back,1.720255591868662
7,11,no_back,1.787379924219811
8,11,no_back,1.7102532109445736
9,11,no_back,1.7623062023145595
10,11,no_back,1.8144495496471371
0,12,two_back,1.7950065847337886
1,12,two_back,1.7238689409145467
2,12,two_back,1.6484451252485284
3,12,two_back,1.685347772315146
4,12,two_back,1.7388059224026908
5,12,two_back,1.704824978843535
6,12,two_back,1.7160323019019903
7,12,two_back,1.7078860476503521
8,12,two_back,1.791811019605673
9,12,two_back,1.833209914637603
10,12,two_back,1.6483302066360843
0,12,no_back,1.7340048481655108
1,12,no_back,1.6863551106780938
2,12,no_back,1.671521751939015
3,12,no_back,1.7881079476622768
4,12,no_back,1.7781353028976572
5,12,no_back,1.7131004850612244
6,12,no_back,1.7856369486235952
7,12,no_back,1.811232583287124
8,12,no_back,1.7135348167367812
9,12,no_back,1.602483645533565
10,12,no_back,1.7028160638865024
0,13,two_back,1.5641593040419768
1,13,two_back,1.618363369577682
2,13,two_back,1.618842601513948
3,13,two_back,1.7144211057299625
4,13,two_back,1.7789226907128999
5,13,two_back,1.8452261499938443
6,13,two_back,1.8521054915011965
7,13,two_back,1.7511860206470604
8,13,two_back,1.7153337447672956
9,13,two_back,1.8137920032226507
10,13,two_back,1.6108950823134225
0,13,no_back,1.720505565815229
1,13,no_back,1.6840213123843626
2,13,no_back,1.6438699528645417
3,13,no_back,1.709283678386377
4,13,no_back,1.721090507595294
5,13,no_back,1.7027657693354694
6,13,no_back,1.6880161117830939
7,13,no_back,1.6643779956808744
8,13,no_back,1.776281946159142
9,13,no_back,1.7252627518114296
10,13,no_back,1.6806503410289404
0,14,two_back,1.8604745583965157
1,14,two_back,1.8780250943054257
2,14,two_back,1.8362530973268192
3,14,two_back,1.8687973313076693
4,14,two_back,1.901970766244708
5,14,two_back,1.8360946796845357
6,14,two_back,1.8817509110771262
7,14,two_back,1.8728399366199462
8,14,two_back,1.8944873118473957
9,14,two_back,1.9098392319867017
10,14,two_back,1.898422816813276
0,14,no_back,1.8966511249882556
1,14,no_back,1.8942487339200018
2,14,no_back,1.8667363003979611
3,14,no_back,1.8122582021488467
4,14,no_back,1.7672956226651455
5,14,no_back,1.7966555087221967
6,14,no_back,1.8332998255338129
7,14,no_back,1.8516252746161905
8,14,no_back,1.8261302318303443
9,14,no_back,1.8184292795613097
10,14,no_back,1.7241125100536776
0,15,two_back,1.1275261376464076
1,15,two_back,1.3652038161414124
2,15,two_back,1.5597324964822499
3,15,two_back,1.4274680502926365
4,15,two_back,1.3911637528562615
5,15,two_back,1.437526274849804
6,15,two_back,1.3900957287276587
7,15,two_back,1.4378473905425846
8,15,two_back,1.4075610934003813
9,15,two_back,1.3787363246630224
10,15,two_back,1.1195777876793973
0,15,no_back,1.4435542672874968
1,15,no_back,1.4016003062159448
2,15,no_back,1.3885124237295345
3,15,no_back,1.3679693640039625
4,15,no_back,1.3904535052874778
5,15,no_back,1.369914469816223
6,15,no_back,1.4072883742327662
7,15,no_back,1.4236362765638158
8,15,no_back,1.3979265908461693
9,15,no_back,1.403903722952293
10,15,no_back,1.434262017562182
0,16,two_back,1.6092583878974476
1,16,two_back,1.654742479258665
2,16,two_back,1.520909153350239
3,16,two_back,1.6514867075708348
4,16,two_back,1.7340171399943287
5,16,two_back,1.6149895948848818
6,16,two_back,1.6556593145601766
7,16,two_back,1.7003334233281486
8,16,two_back,1.685082877941376
9,16,two_back,1.7344771494213125
10,16,two_back,1.5956246457772467
0,16,no_back,1.7078299849037624
1,16,no_back,1.6191977733020053
2,16,no_back,1.5149814357060651
3,16,no_back,1.5453227952942323
4,16,no_back,1.6039988889013206
5,16,no_back,1.669357107461721
6,16,no_back,1.6609891479750198
7,16,no_back,1.570846747908933
8,16,no_back,1.6251604914856117
9,16,no_back,1.6684287124327242
10,16,no_back,1.686252769457975
0,17,two_back,1.6463447268052624
1,17,two_back,1.7044463572600232
2,17,two_back,1.685843181521813
3,17,two_back,1.6976806396034614
4,17,two_back,1.6837015493711023
5,17,two_back,1.5685580019919525
6,17,two_back,1.466887473871049
7,17,two_back,1.6002337819773937
8,17,two_back,1.7242348381937378
9,17,two_back,1.6816565198909348
10,17,two_back,1.6531748341577392
0,17,no_back,1.6595947720924193
1,17,no_back,1.6283390514686658
2,17,no_back,1.6202381391069978
3,17,no_back,1.4665432431084762
4,17,no_back,1.1262290904192425
5,17,no_back,1.2009380989094849
6,17,no_back,1.6383304907542549
7,17,no_back,1.4491527105931334
8,17,no_back,1.1957981476462745
9,17,no_back,1.2241950301398932
10,17,no_back,1.0115031118860827
0,18,two_back,1.6808232995040586
1,18,two_back,1.7319551742931039
2,18,two_back,1.8223592882826058
3,18,two_back,1.7545979569618326
4,18,two_back,1.6696522744905835
5,18,two_back,1.7560215333417455
6,18,two_back,1.8769535396708426
7,18,two_back,1.773795380349725
8,18,two_back,1.7412056934885893
9,18,two_back,1.7696469515451754
10,18,two_back,1.7919168050091585
0,18,no_back,1.6427371174933119
1,18,no_back,1.6299312120467173
2,18,no_back,1.6176675541726215
3,18,no_back,1.6311920346510438
4,18,no_back,1.8102105792423917
5,18,no_back,1.7921476885415477
6,18,no_back,1.8298224007885848
7,18,no_back,1.8318552811094024
8,18,no_back,1.8329782567326145
9,18,no_back,1.8388802911157625
10,18,no_back,1.7486989782648532
0,19,two_back,1.3067199905237936
1,19,two_back,1.314298921767974
2,19,two_back,1.4181081705753922
3,19,two_back,1.4118791757666758
4,19,two_back,1.6592718773791097
5,19,two_back,1.5997149384136216
6,19,two_back,1.4558596903461654
7,19,two_back,1.4465380635308018
8,19,two_back,1.5253760099707607
9,19,two_back,1.646477183912429
10,19,two_back,1.5363530487838195
0,19,no_back,1.633892252499145
1,19,no_back,1.6496715609742039
2,19,no_back,1.6696950539984632
3,19,no_back,1.6275506919835354
4,19,no_back,1.621325458499877
5,19,no_back,1.4033809425292767
6,19,no_back,1.3728214401678434
7,19,no_back,1.561500350917677
8,19,no_back,1.5826253534216421
9,19,no_back,1.5433193303138573
10,19,no_back,1.570281802505008
0,20,two_back,1.596207966756081
1,20,two_back,1.7420201293572641
2,20,two_back,1.8440528052867522
3,20,two_back,1.8166755734862141
4,20,two_back,1.74603632988045
5,20,two_back,1.6780968873221158
6,20,two_back,1.6878802130989388
7,20,two_back,1.7660860317254514
8,20,two_back,1.7730673362159024
9,20,two_back,1.7608377260002184
10,20,two_back,1.5980824084666965
0,20,no_back,1.7271311737911732
1,20,no_back,1.726894009864035
2,20,no_back,1.6750860796052605
3,20,no_back,1.6722468039656517
4,20,no_back,1.6678128145165196
5,20,no_back,1.6363658344371812
6,20,no_back,1.719659373745413
7,20,no_back,1.7253410750733191
8,20,no_back,1.6414547576938212
9,20,no_back,1.6077286726294995
10,20,no_back,1.6763199186058049
0,21,two_back,1.635246980497676
1,21,two_back,1.6143451451002242
2,21,two_back,1.8081220939804121
3,21,two_back,1.8046701768321685
4,21,two_back,1.723149838242421
5,21,two_back,1.7171558511756377
6,21,two_back,1.7913114791452658
7,21,two_back,1.8631931522758152
8,21,two_back,1.786763679409981
9,21,two_back,1.72035356226133
10,21,two_back,1.715869151301533
0,21,no_back,1.7582152592091562
1,21,no_back,1.7452364668513092
2,21,no_back,1.7446482958763536
3,21,no_back,1.7227294720148272
4,21,no_back,1.686131831708951
5,21,no_back,1.7760143749505588
6,21,no_back,1.795005537987612
7,21,no_back,1.7640006357083398
8,21,no_back,1.704514861713122
9,21,no_back,1.7630954124094396
10,21,no_back,1.7700143147917509
0,22,two_back,1.454749163290894
1,22,two_back,1.6629046952656574
2,22,two_back,1.724210699644706
3,22,two_back,1.721887591287293
4,22,two_back,1.6902047730951149
5,22,two_back,1.7174487346098648
6,22,two_back,1.7255512198681886
7,22,two_back,1.7581044543775617
8,22,two_back,1.7262716478289348
9,22,two_back,1.6482527356681735
10,22,two_back,1.4844088601064027
0,22,no_back,1.7261173716692741
1,22,no_back,1.6305127357578246
2,22,no_back,1.549343647545859
3,22,no_back,1.6316690602190584
4,22,no_back,1.6770461779977877
5,22,no_back,1.7006388616493133
6,22,no_back,1.7097995091659246
7,22,no_back,1.706115058510321
8,22,no_back,1.7789898069955283
9,22,no_back,1.683538588486494
10,22,no_back,1.6896902692082238
0,23,two_back,1.3369018093380494
1,23,two_back,1.622013956058694
2,23,two_back,1.677191598368586
3,23,two_back,1.6010879658815205
4,23,two_back,1.6340516976404686
5,23,two_back,1.526445001682958
6,23,two_back,1.5112942546083301
7,23,two_back,1.5518167785087322
8,23,two_back,1.6077644031660852
9,23,two_back,1.5788876844846909
10,23,two_back,1.3253004541870688
0,23,no_back,1.5758896180108384
1,23,no_back,1.675966071142866
2,23,no_back,1.6840722409886253
3,23,no_back,1.7131273941769594
4,23,no_back,1.5986110411235228
5,23,no_back,1.5388039313752273
6,23,no_back,1.674313351836715
7,23,no_back,1.5674432777175964
8,23,no_back,1.4933327166067145
9,23,no_back,1.5067014854215253
10,23,no_back,1.51228205879001
0,24,two_back,1.6004904278107166
1,24,two_back,1.7348156580253233
2,24,two_back,1.750382526679129
3,24,two_back,1.7409072921273538
4,24,two_back,1.8009571100342259
5,24,two_back,1.8039194087292474
6,24,two_back,1.7700960078991048
7,24,two_back,1.7414101121438421
8,24,two_back,1.7532554171348267
9,24,two_back,1.7882262567873861
10,24,two_back,1.6956303196756133
0,24,no_back,1.7259922499894198
1,24,no_back,1.6767380105796488
2,24,no_back,1.6152304740034154
3,24,no_back,1.5943373911843657
4,24,no_back,1.6134854399445442
5,24,no_back,1.7120140720451975
6,24,no_back,1.8151738414155967
7,24,no_back,1.7867833030401141
8,24,no_back,1.6998603646899653
9,24,no_back,1.700185029001927
10,24,no_back,1.63584611619852
0,25,two_back,1.5612398236360643
1,25,two_back,1.7320036373334333
2,25,two_back,1.7604113124509813
3,25,two_back,1.7727933834790932
4,25,two_back,1.6653485636094654
5,25,two_back,1.5128061819580527
6,25,two_back,1.5408200356249144
7,25,two_back,1.6181011760087702
8,25,two_back,1.708741095904541
9,25,two_back,1.6369673958670101
10,25,two_back,1.5507738063932117
0,25,no_back,1.7032678756288462
1,25,no_back,1.685751626642317
2,25,no_back,1.5841001429754553
3,25,no_back,1.6409177750351878
4,25,no_back,1.5744300021331408
5,25,no_back,1.5400271612625567
6,25,no_back,1.5847847420621701
7,25,no_back,1.522461455738902
8,25,no_back,1.481202207384288
9,25,no_back,1.5063673843465446
10,25,no_back,1.4809748603452006
0,26,two_back,1.3854206864683916
1,26,two_back,1.5713420457109524
2,26,two_back,1.7122535782445145
3,26,two_back,1.7517089244435666
4,26,two_back,1.6977328562849776
5,26,two_back,1.508208807996873
6,26,two_back,1.472712821373412
7,26,two_back,1.445918507627141
8,26,two_back,1.7180161452325406
9,26,two_back,1.6817143324251513
10,26,two_back,1.4091926625540028
0,26,no_back,1.5657938377523126
1,26,no_back,1.6629755323873958
2,26,no_back,1.696706045215791
3,26,no_back,1.664203183216385
4,26,no_back,1.6518341411786326
5,26,no_back,1.6068247924702248
6,26,no_back,1.61906262580831
7,26,no_back,1.4622042973030274
8,26,no_back,1.481582034706872
9,26,no_back,1.618089506566472
10,26,no_back,1.5768371796999077
0,27,two_back,0.9943488071149806
1,27,two_back,1.1094972243772352
2,27,two_back,1.4254207039590225
3,27,two_back,1.4698839499287388
4,27,two_back,1.3091173887051128
5,27,two_back,1.2470053668053376
6,27,two_back,1.4074526022375278
7,27,two_back,1.429708294735551
8,27,two_back,1.5326430160317568
9,27,two_back,1.5185210745723308
10,27,two_back,1.1122360882032687
0,27,no_back,1.5406415239028846
1,27,no_back,1.4973729380634704
2,27,no_back,1.2185665196723807
3,27,no_back,1.200372293800993
4,27,no_back,1.228960773906601
5,27,no_back,1.3795457262673354
6,27,no_back,1.2431992579908693
7,27,no_back,1.0662968986899106
8,27,no_back,1.189831247471418
9,27,no_back,1.3419898164569835
10,27,no_back,1.4437154144885977
0,28,two_back,1.4382737805652024
1,28,two_back,1.4756112205060479
2,28,two_back,1.706062695940967
3,28,two_back,1.747045810535106
4,28,two_back,1.6725548499191534
5,28,two_back,1.612402651759105
6,28,two_back,1.58701496549828
7,28,two_back,1.6298890902426684
8,28,two_back,1.7481457877700486
9,28,two_back,1.6930031358767372
10,28,two_back,1.6440950815326671
0,28,no_back,1.63858220816337
1,28,no_back,1.5699934018800792
2,28,no_back,1.5880380350889123
3,28,no_back,1.6512494279492052
4,28,no_back,1.5554858113823513
5,28,no_back,1.4378368998684965
6,28,no_back,1.5300566220214284
7,28,no_back,1.5784339396496452
8,28,no_back,1.5451509319845615
9,28,no_back,1.5188485576854955
10,28,no_back,1.5559972469253562
0,29,two_back,1.8034942426694265
1,29,two_back,1.8739592839528516
2,29,two_back,1.8658590793038006
